snapshot,season,week,team,name,pos,status,practice,source
2026-09-02,2026,,CHI,Xavier Woods,DB,Questionable,,sleeper
2026-09-02,2026,,PHI,Cooper DeJean,DB,Questionable,,sleeper
2026-09-02,2026,,NE,Julian Hill,TE,IR,,sleeper
2026-09-02,2026,,MIA,Jacob Rodriguez,LB,Questionable,,sleeper
2026-09-02,2026,,LAC,Denzel Perryman,LB,IR,,sleeper
2026-09-02,2026,,LAR,Davis Allen,TE,Questionable,,sleeper
2026-09-02,2026,,CIN,Dax Hill,DB,Questionable,,sleeper
2026-09-02,2026,,SF,Ephesians Prysock,CB,Questionable,,sleeper
2026-09-02,2026,,NE,Jimmy Kibble,WR,IR,,sleeper
2026-09-02,2026,,CHI,Austin Booker,DL,Questionable,,sleeper
2026-09-02,2026,,GB,Micah Parsons,LB,PUP,,sleeper
2026-09-02,2026,,MIA,Ronnie Harrison,DB,Questionable,,sleeper
2026-09-02,2026,,PHI,Jonathan Greenard,DE,PUP,,sleeper
2026-09-02,2026,,HOU,Brevin Jordan,TE,Questionable,,sleeper
2026-09-02,2026,,LV,Chase Roberts,WR,IR,,sleeper
2026-09-02,2026,,DEN,Matt Henningsen,DE,IR,,sleeper
2026-09-02,2026,,WAS,Malik Spencer,DB,IR,,sleeper
2026-09-02,2026,,CHI,Keyshaun Elliott,LB,Questionable,,sleeper
2026-09-02,2026,,CAR,Ryan Hayes,OL,IR,,sleeper
2026-09-02,2026,,NO,Cedric Tillman,WR,Questionable,,sleeper
2026-09-02,2026,,SF,George Kittle,TE,Questionable,,sleeper
2026-09-02,2026,,NO,Moliki Matavao,TE,IR,,sleeper
2026-09-02,2026,,TEN,Dominique Hampton,CB,IR,,sleeper
2026-09-02,2026,,SEA,Bud Clark,DB,IR,,sleeper
2026-09-02,2026,,SF,Kurtis Rourke,QB,Questionable,,sleeper
2026-09-02,2026,,SF,Austen Pleasants,OL,IR,,sleeper
2026-09-02,2026,,LAR,Zech McPhearson,CB,IR,,sleeper
2026-09-02,2026,,CAR,Trevor Etienne,RB,IR,,sleeper
2026-09-02,2026,,LV,Brennan Jackson,DE,IR,,sleeper
2026-09-02,2026,,LAR,Alaric Jackson,OL,Questionable,,sleeper
2026-09-02,2026,,CHI,Tyrique Stevenson,CB,Questionable,,sleeper
2026-09-02,2026,,BUF,Zane Durant,DT,IR,,sleeper
2026-09-02,2026,,CHI,Brittain Brown,RB,IR,,sleeper
2026-09-02,2026,,LAR,Eddie Walls,DL,IR,,sleeper
2026-09-02,2026,,LV,Dont'e Thornton,WR,IR,,sleeper
2026-09-02,2026,,CIN,Shemar Stewart,DL,Questionable,,sleeper
2026-09-02,2026,,NE,Jeremiah Webb,WR,IR,,sleeper
2026-09-02,2026,,NYG,Rico Payton,CB,IR,,sleeper
2026-09-02,2026,,GB,Carrington Valentine,DB,Questionable,,sleeper
2026-09-02,2026,,TEN,Jaylen Harrell,DE,IR,,sleeper
2026-09-02,2026,,KC,Kenneth Walker,RB,Questionable,,sleeper
2026-09-02,2026,,DET,Malcolm Rodriguez,LB,Questionable,,sleeper
2026-09-02,2026,,BAL,Jahquez Robinson,DB,IR,,sleeper
2026-09-02,2026,,NYG,Roy Robertson-Harris,DE,IR,,sleeper
2026-09-02,2026,,PIT,Jaquan Brisker,DB,Questionable,,sleeper
2026-09-02,2026,,KC,Chris Oladokun,QB,IR,,sleeper
2026-09-02,2026,,IND,Coleman Owen,WR,IR,,sleeper
2026-09-02,2026,,HOU,Ali Gaye,DE,IR,,sleeper
2026-09-02,2026,,NO,Quincy Riley,CB,Questionable,,sleeper
2026-09-02,2026,,GB,Luke Musgrave,TE,PUP,,sleeper
